enroll_id,user_id,course_id,enrolled_date,status
1,1,37,2025-08-24,active
2,1,41,2025-08-03,active
3,1,13,2025-03-16,active
4,1,24,2025-11-30,active
5,2,32,2026-01-09,inactive
6,2,44,2025-04-04,inactive
7,2,35,2026-01-13,inactive
8,2,28,2025-04-10,inactive
9,3,20,2025-06-08,active
10,3,16,2025-03-16,active
11,3,12,2025-02-04,inactive
12,3,45,2025-08-31,inactive
13,4,22,2026-01-19,active
14,4,47,2025-07-08,active
15,4,29,2025-08-04,inactive
16,4,19,2025-04-14,active
17,5,49,2025-03-22,inactive
18,5,22,2025-10-07,active
19,5,10,2025-11-14,active
20,5,32,2025-04-19,inactive
21,6,22,2025-10-18,inactive
22,6,45,2025-09-16,inactive
23,6,23,2025-12-16,active
24,6,39,2025-08-03,active
25,7,18,2026-01-11,active
26,7,31,2026-01-27,active
27,7,45,2025-07-20,inactive
28,7,43,2025-03-10,inactive
29,8,19,2025-10-04,inactive
30,8,46,2025-10-04,active
31,8,25,2025-04-27,inactive
32,8,43,2025-05-10,inactive
33,9,11,2025-11-09,active
34,9,40,2025-07-10,active
35,9,8,2026-01-25,inactive
36,9,32,2025-03-30,active
37,10,48,2025-07-27,active
38,10,16,2025-02-02,active
39,10,26,2025-11-13,inactive
40,10,32,2025-05-14,inactive
41,11,36,2025-03-24,inactive
42,11,18,2025-06-14,inactive
43,11,9,2025-06-29,inactive
44,11,28,2025-04-21,inactive
45,12,15,2025-08-04,active
46,12,10,2025-10-05,active
47,12,6,2025-03-21,active
48,12,12,2025-04-12,active
49,13,32,2025-03-25,inactive
50,13,38,2025-02-07,active
51,13,12,2025-12-06,active
52,13,17,2025-10-26,inactive
53,14,35,2026-01-26,inactive
54,14,24,2025-08-08,active
55,14,40,2025-09-04,active
56,14,37,2025-04-17,inactive
57,15,50,2025-07-14,inactive
58,15,44,2025-10-08,inactive
59,15,36,2025-02-26,inactive
60,15,26,2025-07-15,active
61,16,31,2025-12-07,active
62,16,41,2026-01-07,active
63,16,26,2026-01-29,active
64,16,4,2025-08-04,inactive
65,17,11,2025-11-29,active
66,17,8,2025-07-04,active
67,17,22,2025-08-08,active
68,17,39,2025-10-26,active
69,18,35,2026-01-17,active
70,18,7,2026-01-11,active
71,18,24,2025-11-09,active
72,18,40,2025-06-04,inactive
73,19,10,2025-11-06,inactive
74,19,41,2025-07-26,inactive
75,19,17,2025-04-19,active
76,19,23,2025-09-28,active
77,20,32,2025-02-04,active
78,20,30,2025-04-22,active
79,20,31,2025-09-25,active
80,20,20,2025-05-22,inactive
81,21,48,2025-08-22,active
82,21,17,2025-06-18,active
83,21,31,2025-04-13,active
84,21,45,2025-08-24,inactive
85,22,10,2025-03-26,inactive
86,22,45,2025-12-30,active
87,22,35,2025-08-16,inactive
88,22,2,2025-06-05,inactive
89,23,11,2025-12-18,inactive
90,23,23,2025-10-22,active
91,23,50,2025-08-14,active
92,23,15,2025-08-07,active
93,24,26,2025-08-19,inactive
94,24,48,2025-05-28,inactive
95,24,15,2025-04-09,active
96,24,13,2025-05-22,active
97,25,18,2025-07-15,inactive
98,25,31,2026-01-17,inactive
99,25,17,2025-03-29,inactive
100,25,13,2025-02-20,inactive
101,26,6,2025-05-21,active
102,26,15,2025-12-29,inactive
103,26,7,2026-01-02,active
104,26,31,2025-09-28,inactive
105,27,40,2025-10-05,inactive
106,27,1,2025-08-19,active
107,27,31,2025-11-22,active
108,27,42,2025-07-04,inactive
109,28,46,2025-05-06,active
110,28,49,2025-06-09,inactive
111,28,13,2025-06-07,inactive
112,28,31,2025-02-02,active
113,29,47,2025-03-28,active
114,29,26,2026-01-19,active
115,29,30,2025-08-25,active
116,29,48,2025-02-28,active
117,30,2,2025-04-13,active
118,30,10,2025-11-29,inactive
119,30,38,2025-03-11,inactive
120,30,30,2025-03-30,active
121,31,36,2025-09-23,active
122,31,9,2025-03-02,active
123,31,2,2025-02-01,inactive
124,31,1,2025-03-17,active
125,32,14,2025-08-05,active
126,32,2,2026-01-11,inactive
127,32,17,2025-12-10,inactive
128,32,19,2025-03-07,inactive
129,33,9,2025-02-24,inactive
130,33,4,2026-01-13,inactive
131,33,48,2025-02-22,active
132,33,23,2025-02-24,active
133,34,34,2025-05-14,active
134,34,33,2025-06-03,active
135,34,2,2025-07-16,active
136,34,29,2025-06-29,active
137,35,10,2025-06-04,active
138,35,31,2025-11-16,active
139,35,40,2025-11-26,inactive
140,35,47,2025-05-14,inactive
141,36,50,2026-01-12,active
142,36,7,2025-03-11,active
143,36,36,2025-05-31,inactive
144,36,4,2025-03-20,active
145,37,50,2025-07-20,active
146,37,7,2025-09-10,active
147,37,33,2025-06-13,inactive
148,37,29,2025-10-07,inactive
149,38,40,2025-11-10,inactive
150,38,33,2026-01-03,inactive
151,38,39,2025-03-12,inactive
152,38,13,2025-03-07,active
153,39,45,2025-03-31,active
154,39,34,2025-11-09,inactive
155,39,17,2025-04-02,active
156,39,36,2025-12-21,inactive
157,40,8,2025-06-22,active
158,40,26,2025-09-02,active
159,40,29,2025-03-13,inactive
160,40,21,2025-12-18,active
161,41,14,2025-04-19,active
162,41,43,2026-01-24,inactive
163,41,20,2025-09-26,active
164,41,8,2025-05-12,inactive
165,42,9,2025-12-08,active
166,42,30,2025-10-06,inactive
167,42,15,2025-09-24,inactive
168,42,48,2025-06-13,active
169,43,43,2025-04-25,inactive
170,43,15,2025-10-08,inactive
171,43,11,2025-02-24,inactive
172,43,46,2025-05-22,inactive
173,44,13,2025-07-07,inactive
174,44,23,2025-03-09,active
175,44,21,2025-03-11,inactive
176,44,6,2025-07-06,inactive
177,45,29,2025-02-02,inactive
178,45,46,2025-01-31,inactive
179,45,2,2025-03-13,active
180,45,25,2026-01-05,active
181,46,15,2025-10-23,inactive
182,46,7,2025-06-16,active
183,46,6,2025-11-24,active
184,46,17,2025-08-22,inactive
185,47,49,2025-06-13,inactive
186,47,9,2025-10-13,inactive
187,47,28,2025-11-11,active
188,47,44,2026-01-02,inactive
189,48,45,2025-03-12,active
190,48,21,2025-09-21,active
191,48,6,2025-11-17,inactive
192,48,18,2025-09-09,active
193,49,18,2025-11-24,inactive
194,49,2,2026-01-14,active
195,49,41,2025-02-24,active
196,49,6,2025-10-07,active
197,50,17,2025-06-10,inactive
198,50,8,2025-07-01,inactive
199,50,30,2025-04-06,inactive
200,50,1,2025-12-05,active
201,51,3,2025-06-05,active
202,51,34,2025-12-23,active
203,51,46,2025-12-13,inactive
204,51,16,2025-10-18,active
205,52,12,2025-06-26,inactive
206,52,13,2026-01-18,active
207,52,20,2025-05-27,inactive
208,52,41,2025-02-14,inactive
209,53,33,2025-12-21,inactive
210,53,44,2025-05-19,active
211,53,12,2025-02-22,inactive
212,53,18,2025-08-10,active
213,54,1,2025-06-17,active
214,54,2,2025-08-24,inactive
215,54,47,2025-05-19,active
216,54,33,2025-02-28,inactive
217,55,7,2025-10-13,inactive
218,55,43,2025-03-20,inactive
219,55,42,2025-12-26,inactive
220,55,28,2025-03-27,active
221,56,15,2025-08-31,active
222,56,22,2026-01-27,inactive
223,56,13,2025-12-11,inactive
224,56,46,2025-10-28,active
225,57,9,2025-02-20,inactive
226,57,1,2026-01-08,inactive
227,57,5,2025-09-26,active
228,57,41,2025-03-20,active
229,58,6,2025-05-16,inactive
230,58,43,2025-11-30,active
231,58,25,2025-07-12,inactive
232,58,33,2025-06-26,active
233,59,30,2025-11-06,inactive
234,59,12,2025-04-12,active
235,59,11,2025-03-29,inactive
236,59,18,2025-06-24,inactive
237,60,22,2025-02-18,active
238,60,36,2025-09-05,inactive
239,60,21,2025-06-24,active
240,60,16,2026-01-25,inactive
241,61,12,2025-06-21,active
242,61,1,2025-09-03,inactive
243,61,22,2025-09-11,inactive
244,61,25,2025-12-16,active
245,62,16,2025-05-21,active
246,62,33,2025-10-16,inactive
247,62,50,2025-04-10,active
248,62,1,2025-05-21,active
249,63,26,2026-01-10,inactive
250,63,38,2025-05-13,inactive
251,63,3,2025-07-31,active
252,63,2,2025-10-09,active
253,64,38,2026-01-06,inactive
254,64,34,2025-09-04,inactive
255,64,49,2025-06-20,inactive
256,64,10,2025-04-23,active
257,65,19,2025-11-11,active
258,65,47,2025-09-11,active
259,65,40,2025-09-27,inactive
260,65,42,2025-12-05,active
261,66,34,2025-03-30,active
262,66,49,2025-10-11,active
263,66,33,2025-09-06,active
264,66,37,2025-12-24,active
265,67,3,2025-03-22,active
266,67,9,2025-09-13,inactive
267,67,41,2025-11-06,inactive
268,67,24,2025-11-20,active
269,68,41,2025-06-05,active
270,68,2,2025-04-03,inactive
271,68,35,2025-04-14,inactive
272,68,44,2025-02-03,active
273,69,30,2025-02-16,active
274,69,5,2025-07-12,active
275,69,48,2025-06-24,inactive
276,69,33,2025-11-12,inactive
277,70,5,2025-06-17,active
278,70,17,2025-04-23,active
279,70,16,2025-10-22,inactive
280,70,47,2025-10-01,inactive
281,71,25,2025-03-11,inactive
282,71,5,2026-01-25,active
283,71,31,2026-01-03,active
284,71,44,2025-03-02,active
285,72,39,2025-11-11,inactive
286,72,10,2025-05-20,active
287,72,22,2025-11-06,active
288,72,17,2026-01-29,inactive
289,73,4,2025-06-26,active
290,73,32,2025-11-27,active
291,73,18,2025-11-01,inactive
292,73,44,2025-12-09,inactive
293,74,46,2026-01-24,inactive
294,74,34,2025-11-13,inactive
295,74,19,2025-12-06,active
296,74,30,2026-01-07,active
297,75,20,2025-09-09,inactive
298,75,6,2025-08-21,inactive
299,75,31,2025-10-29,active
300,75,2,2025-11-07,inactive
301,76,18,2025-02-23,active
302,76,25,2025-03-03,active
303,76,14,2025-08-25,inactive
304,76,5,2025-12-03,inactive
305,77,9,2025-06-20,inactive
306,77,39,2025-08-17,active
307,77,41,2025-03-02,inactive
308,77,33,2025-08-12,active
309,78,32,2025-09-30,active
310,78,26,2025-04-01,inactive
311,78,2,2025-05-15,inactive
312,78,11,2025-12-04,inactive
313,79,20,2025-12-06,inactive
314,79,47,2026-01-07,inactive
315,79,10,2025-12-11,inactive
316,79,27,2026-01-18,active
317,80,22,2025-05-16,inactive
318,80,1,2025-04-24,inactive
319,80,21,2025-06-04,active
320,80,49,2025-02-11,active
321,81,46,2025-03-09,inactive
322,81,1,2025-07-20,inactive
323,81,48,2025-03-03,active
324,81,19,2026-01-26,inactive
325,82,25,2025-04-02,inactive
326,82,38,2025-03-08,inactive
327,82,5,2026-01-06,active
328,82,24,2025-02-09,inactive
329,83,7,2025-08-28,active
330,83,4,2025-07-18,active
331,83,43,2025-02-16,inactive
332,83,19,2025-10-20,inactive
333,84,33,2025-05-28,inactive
334,84,21,2025-08-14,inactive
335,84,13,2025-11-11,active
336,84,50,2025-02-24,inactive
337,85,36,2025-12-09,active
338,85,14,2025-05-09,inactive
339,85,47,2025-05-28,inactive
