activity_id,user_id,activity_status,lesson_id,activity_date
1,4022,viewed,9,2025-11-21
2,4022,completed,15,2025-08-05
3,4022,viewed,16,2025-10-17
4,4022,viewed,14,2025-08-05
5,7131,viewed,136,2025-12-23
6,7131,viewed,132,2025-08-18
7,7131,completed,130,2025-08-10
8,7131,viewed,131,2025-11-14
9,9113,viewed,107,2025-08-12
10,9113,viewed,105,2025-10-30
11,9113,viewed,111,2025-12-02
12,9113,viewed,106,2026-01-15
13,4797,viewed,12,2026-01-24
14,4797,completed,9,2025-12-25
15,4797,viewed,14,2025-12-04
16,4797,completed,13,2025-10-02
17,1856,completed,203,2025-10-01
18,1856,viewed,206,2026-01-08
19,1856,viewed,202,2025-09-02
20,1856,completed,204,2025-09-11
21,185,completed,14,2026-01-01
22,185,viewed,11,2025-11-14
23,185,viewed,10,2026-01-22
24,185,completed,9,2025-08-03
25,9645,viewed,6,2025-11-18
26,9645,completed,8,2025-11-11
27,9645,viewed,2,2025-12-08
28,9645,completed,1,2026-01-10
29,5549,completed,215,2025-12-23
30,5549,viewed,214,2025-08-02
31,5549,completed,209,2025-08-18
32,5549,viewed,212,2025-12-25
33,8154,viewed,50,2025-12-25
34,8154,completed,54,2025-11-13
35,8154,completed,53,2025-09-16
36,8154,viewed,55,2025-12-28
37,682,viewed,118,2026-01-02
38,682,viewed,116,2026-01-18
39,682,completed,120,2025-11-25
40,682,viewed,115,2025-11-21
41,1754,viewed,169,2025-09-06
42,1754,completed,175,2025-10-25
43,1754,completed,174,2025-09-20
44,1754,completed,176,2025-10-09
45,2104,viewed,275,2025-12-23
46,2104,completed,276,2026-01-22
47,2104,completed,279,2025-11-02
48,2104,viewed,277,2025-08-27
49,768,viewed,154,2025-10-30
50,768,viewed,153,2025-12-29
51,768,viewed,158,2025-09-22
52,768,viewed,157,2025-09-07
53,9628,completed,44,2026-01-28
54,9628,completed,47,2025-12-31
55,9628,viewed,43,2025-11-18
56,9628,completed,45,2025-12-23
57,7875,viewed,330,2025-12-28
58,7875,viewed,333,2025-09-20
59,7875,completed,334,2025-10-16
60,7875,completed,335,2025-12-29
61,4832,viewed,386,2025-11-02
62,4832,viewed,391,2025-08-13
63,4832,completed,389,2026-01-04
64,4832,viewed,392,2026-01-03
65,3646,completed,364,2025-08-07
66,3646,completed,363,2025-12-27
67,3646,viewed,368,2026-01-15
68,3646,completed,366,2025-11-29
69,8791,viewed,363,2025-08-02
70,8791,completed,361,2025-09-10
71,8791,completed,362,2025-12-19
72,8791,completed,364,2025-08-06
73,1281,viewed,79,2025-08-28
74,1281,viewed,73,2026-01-05
75,1281,completed,78,2025-11-24
76,1281,viewed,74,2025-11-27
77,3684,viewed,258,2025-10-24
78,3684,viewed,262,2026-01-08
79,3684,viewed,264,2025-10-23
80,3684,completed,257,2025-12-24
81,7001,viewed,261,2025-11-25
82,7001,completed,258,2026-01-22
83,7001,completed,260,2025-12-21
84,7001,completed,257,2025-10-24
85,7952,completed,265,2025-09-04
86,7952,viewed,270,2026-01-01
87,7952,viewed,266,2025-10-22
88,7952,completed,267,2025-12-15
89,7246,viewed,305,2025-12-11
90,7246,completed,306,2025-10-16
91,7246,completed,308,2025-11-04
92,7246,viewed,310,2025-10-03
93,8727,viewed,58,2025-08-26
94,8727,completed,61,2025-08-05
95,8727,viewed,57,2025-09-16
96,8727,viewed,62,2026-01-27
97,9171,viewed,64,2025-10-04
98,9171,viewed,63,2025-10-27
99,9171,completed,57,2025-10-22
100,9171,viewed,59,2025-12-10
101,3182,viewed,92,2025-09-21
102,3182,completed,95,2025-12-30
103,3182,completed,93,2025-10-29
104,3182,viewed,94,2025-12-27
105,8848,completed,210,2025-12-07
106,8848,completed,209,2025-12-07
107,8848,viewed,214,2025-09-16
108,8848,viewed,212,2026-01-26
109,6775,viewed,3,2026-01-20
110,6775,viewed,5,2025-11-13
111,6775,completed,6,2026-01-08
112,6775,viewed,4,2025-11-12
113,6386,viewed,320,2025-12-27
114,6386,viewed,314,2025-09-18
115,6386,completed,317,2026-01-18
116,6386,viewed,316,2025-11-03
117,4704,completed,109,2025-09-24
118,4704,viewed,110,2026-01-03
119,4704,viewed,106,2025-10-03
120,4704,completed,112,2025-09-10
121,88,completed,205,2025-08-28
122,88,completed,204,2025-12-19
123,88,completed,202,2025-11-19
124,88,viewed,201,2025-12-09
125,4887,viewed,351,2025-12-06
126,4887,viewed,352,2025-10-10
127,4887,completed,350,2025-08-17
128,4887,viewed,345,2025-10-14
129,1107,viewed,128,2026-01-30
130,1107,viewed,124,2026-01-16
131,1107,viewed,122,2025-09-08
132,1107,viewed,125,2025-11-25
133,2705,viewed,64,2025-11-11
134,2705,viewed,61,2025-11-17
135,2705,viewed,58,2025-08-27
136,2705,completed,60,2025-12-02
137,6709,viewed,243,2025-11-11
138,6709,completed,247,2025-12-13
139,6709,completed,242,2026-01-16
140,6709,viewed,248,2025-09-07
141,1882,viewed,151,2025-11-18
142,1882,completed,148,2025-08-23
143,1882,viewed,146,2025-10-09
144,1882,completed,150,2026-01-28
145,9069,viewed,117,2025-09-03
146,9069,viewed,120,2025-11-07
147,9069,viewed,116,2025-12-10
148,9069,completed,114,2025-09-09
149,9004,completed,121,2025-11-27
150,9004,completed,127,2026-01-27
151,9004,completed,128,2025-10-14
152,9004,viewed,124,2025-10-30
153,4917,viewed,25,2025-11-28
154,4917,completed,31,2025-12-15
155,4917,completed,28,2025-09-29
156,4917,viewed,29,2025-08-16
157,63,viewed,11,2025-10-16
158,63,viewed,16,2025-12-12
159,63,completed,14,2025-08-31
160,63,viewed,10,2025-10-25
161,62,viewed,5,2025-12-02
